rank	model_id	revision	downloads	likes	library_name	pipeline_tag	gated	private
1	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	20083761	1106	transformers	text-generation	false	false
2	Qwen/Qwen3-0.6B	c1899de289a04d12100db370d81485cdf75e47ca	11202195	1117	transformers	text-generation	false	false
3	openai-community/gpt2	607a30d783dfa663caf39e06633721c8d4cfcd7e	10074467	3118	transformers	text-generation	false	false
4	Qwen/Qwen2.5-1.5B-Instruct	989aa7980e4cf806f80c7fef2b1adb7bc71aa306	7223269	627	transformers	text-generation	false	false
5	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	7031691	468	transformers	text-generation	false	false
6	meta-llama/Llama-3.1-8B-Instruct	0e9e39f249a16976918f6564b8830bc894c89659	7006483	5513	transformers	text-generation	manual	false
7	openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	6810310	4420	transformers	text-generation	false	false
8	Qwen/Qwen2.5-3B-Instruct	aa8e72537993ba99e69dfaafa59ed015b17504d1	6549539	408	transformers	text-generation	false	false
9	trl-internal-testing/tiny-Qwen2ForCausalLM-2.5	4b10ebee6e13a2669155516652960f50984399fd	6185159	4	transformers	text-generation	false	false
10	Qwen/Qwen3-1.7B	70d244cc86ccca08cf5af4e1e306ecf908b1ad5e	6069688	425	transformers	text-generation	false	false
11	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	5844810	967	transformers	text-generation	false	false
12	facebook/opt-125m	27dcfa74d334bc871f3234de431e71c6eeba5dd6	5741414	233	transformers	text-generation	false	false
13	Qwen/Qwen3-4B	1cfa9a7208912126459214e8b04321603b3df60c	5337795	560	transformers	text-generation	false	false
14	dphn/dolphin-2.9.1-yi-1.5-34b	0141cba238d0faad09bc240ea7af14c9ea5aec44	4644381	55	transformers	text-generation	false	false
15	openai/gpt-oss-120b	b5c939de8f754692c1647ca79fbf85e8c1e70f8a	4118252	4539	transformers	text-generation	false	false
16	mlx-community/Kimi-K2.5	351021afd838c866ce1a7374fce51d615773d2a8	4014226	29	mlx	text-generation	false	false
17	Qwen/Qwen2.5-32B-Instruct	5ede1c97bbab6ce5cda5812749b4c0bdf79b18dd	3935435	334	transformers	text-generation	false	false
18	Qwen/Qwen3-4B-Instruct-2507	cdbee75f17c01a7cc42f958dc650907174af0554	3739509	757	transformers	text-generation	false	false
19	meta-llama/Llama-3.2-1B-Instruct	9213176726f574b556790deb65791e0c5aa438b6	3703728	1305	transformers	text-generation	manual	false
20	Qwen/Qwen3-32B	9216db5781bf21249d130ec9da846c4624c16137	3511708	665	transformers	text-generation	false	false
21	Qwen/Qwen2-1.5B-Instruct	ba1cf1846d7df0a0591d6c00649f57e798519da8	3475399	161	transformers	text-generation	false	false
22	google/gemma-3-1b-it	dcc83ea841ab6100d6b47a070329e1ba4cf78752	3081891	861	transformers	text-generation	manual	false
23	mistralai/Mistral-7B-Instruct-v0.2	63a8b081895390a26e140280378bc85ec8bce07a	2906781	3086	transformers	text-generation	false	false
24	meta-llama/Llama-3.2-3B-Instruct	0cb88a4f764b7a12671c53f0838cd831a0843b95	2880509	2016	transformers	text-generation	manual	false
25	meta-llama/Meta-Llama-3-8B	8cde5ca8380496c9a6cc7ef3a8b46a0372a1d920	2415979	6473	transformers	text-generation	manual	false
26	EleutherAI/pythia-160m	50f5173d932e8e61f858120bcb800b97af589f46	2318552	38	transformers	text-generation	false	false
27	Qwen/Qwen3-30B-A3B-Instruct-2507	0d7cf23991f47feeb3a57ecb4c9cee8ea4a17bfe	2218575	779	transformers	text-generation	false	false
28	Qwen/Qwen2.5-7B	d149729398750b98c0af14eb82c78cfe92750796	2021169	266	transformers	text-generation	false	false
29	Qwen/Qwen2.5-14B-Instruct	cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8	1975066	318	transformers	text-generation	false	false
30	distilbert/distilgpt2	2290a62682d06624634c1f46a6ad5be0f47f38aa	1892799	610	transformers	text-generation	false	false
31	TinyLlama/TinyLlama-1.1B-Chat-v1.0	fe8a4ea1ffedaf415f4da2f062534de366a451e6	1836640	1538	transformers	text-generation	false	false
32	RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic	e23d444f8d7da0a3e556cae44a7d3c46f127e642	1800249	3		text-generation	false	false
33	Qwen/Qwen2.5-Coder-1.5B-Instruct	2e1fd397ee46e1388853d2af2c993145b0f1098a	1765879	107	transformers	text-generation	false	false
34	zai-org/GLM-4.7-Flash	7dd20894a642a0aa287e9827cb1a1f7f91386b67	1680372	1582	transformers	text-generation	false	false
35	microsoft/phi-2	810d367871c1d460086d9f82db8696f2e0a0fcd0	1642060	3429	transformers	text-generation	false	false
36	Qwen/Qwen3-0.6B-FP8	e5be08033360965ceca7b0ffd72d521a51331ce0	1617254	57	transformers	text-generation	false	false
37	Qwen/Qwen2.5-32B-Instruct-AWQ	5c7cb76a268fc6cfbb9c4777eb24ba6e27f9ee6c	1612434	94	transformers	text-generation	false	false
38	apple/OpenELM-1_1B-Instruct	effd796da2a77361d7360e45e54c7cc14bc5df2a	1596036	73	transformers	text-generation	false	false
39	Qwen/Qwen3-14B	40c069824f4251a91eefaf281ebe4c544efd3e18	1573246	377	transformers	text-generation	false	false
40	zai-org/GLM-5-FP8	7ca2d2f1f1703aa0b189977fe3c126caf18b70e1	1564890	124	transformers	text-generation	false	false
41	Qwen/Qwen2.5-Coder-7B-Instruct	c03e6d358207e414f1eca0bb1891e29f1db0e242	1533040	659	transformers	text-generation	false	false
42	openai-community/gpt2-large	32b71b12589c2f8d625668d2335a01cac3249519	1526716	346	transformers	text-generation	false	false
43	Qwen/Qwen2.5-Coder-0.5B-Instruct	ea3f2471cf1b1f0db85067f1ef93848e38e88c25	1508387	65	transformers	text-generation	false	false
44	deepseek-ai/DeepSeek-V3	e815299b0bcbac849fa540c768ef21845365c9eb	1480596	4026	transformers	text-generation	false	false
45	deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B	ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562	1453441	1452	transformers	text-generation	false	false
46	meta-llama/Llama-3.2-1B	4e20de362430cd3b72f300e6b0f18e50e7166e08	1422357	2305	transformers	text-generation	manual	false
47	meta-llama/Llama-3.2-3B	13afe5124825b4f3751f836b40dafda64c1ed062	1403305	702	transformers	text-generation	manual	false
48	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	1f5635b78bd7294b73d01c24051e3fa5df7a3da3	1380064	290	transformers	text-generation	false	false
49	meta-llama/Llama-3.1-8B	d04e592bb4f6aa9cfee91e2e20afa771667e1d4b	1354187	2083	transformers	text-generation	manual	false
50	meta-llama/Meta-Llama-3-8B-Instruct	8afb486c1db24fe5011ec46dfbe5b5dccdb575c2	1343560	4390	transformers	text-generation	manual	false
51	bigscience/bloomz-560m	a2845d7e13dd12efae154a9f1c63fcc2e0cc4b05	1323126	137	transformers	text-generation	false	false
52	hmellor/tiny-random-LlamaForCausalLM	9408c553e5c189a7dcdc5a5dbd2feb476b061759	1254855	0	transformers	text-generation	false	false
53	Qwen/Qwen2.5-0.5B	060db6499f32faf8b98477b0a26969ef7d8b9987	1216509	378	transformers	text-generation	false	false
54	Qwen/Qwen3-Next-80B-A3B-Instruct	9c7f2fbe84465e40164a94cc16cd30b6999b0cc7	1213190	946	transformers	text-generation	false	false
55	Qwen/Qwen3-30B-A3B	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39	1176486	860	transformers	text-generation	false	false
56	bullpoint/Qwen3-Coder-Next-AWQ-4bit	b035ac132045fd726eaa1ce53888df39cbb30291	1164124	14	transformers	text-generation	false	false
57	RedHatAI/Qwen2.5-1.5B-quantized.w8a8	45d7501a9947504178b3d1bfee36272bd1582e66	1077705	2		text-generation	false	false
58	Qwen/Qwen2.5-Math-1.5B	4a83ca6e4526a4f2da3aa259ec36c259f66b2ab2	1066156	102	transformers	text-generation	false	false
59	Qwen/Qwen2.5-Coder-7B-Instruct-AWQ	8e8ed243bbe6f9a5aff549a0924562fc719b2b8a	1062478	19	transformers	text-generation	false	false
60	deepseek-ai/DeepSeek-R1-0528	4236a6af538feda4548eca9ab308586007567f52	1059212	2402	transformers	text-generation	false	false
61	lmstudio-community/GLM-4.7-Flash-MLX-8bit	0eca07a0c2944693945f21a18cf663722e3186b9	1055058	9	transformers	text-generation	false	false
62	lmstudio-community/GLM-4.7-Flash-MLX-6bit	28387239288ecde2acd4096526d6a67b3ff388f2	1044215	8	transformers	text-generation	false	false
63	Qwen/Qwen2.5-14B-Instruct-AWQ	539535859b135b0244c91f3e59816150c8056698	1029123	27	transformers	text-generation	false	false
64	Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4	3d0e91af138113d0b17d8011adf140d22423d13e	1025043	13	transformers	text-generation	false	false
65	h2oai/h2ovl-mississippi-800m	6c0cd05fc5c79a624ec31fe8aa6261113ae3d3a6	996876	39	transformers	text-generation	false	false
66	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	5a48de7e98cce824b3456eb9857ded839c3b6475	996223	645	transformers	text-generation	false	false
67	Qwen/Qwen3-30B-A3B-Instruct-2507-FP8	5a5a776300a41aaa681dd7ff0106608ef2bc90db	994781	115	transformers	text-generation	false	false
68	deepseek-ai/DeepSeek-R1	56d4cbbb4d29f4355bab4b9a39ccb717a14ad5ad	994145	13104	transformers	text-generation	false	false
69	h2oai/h2ovl-mississippi-2b	e5418d59f36d2d419f67f5d72fa731ad82afc2b1	989243	42	transformers	text-generation	false	false
70	llamafactory/tiny-random-Llama-3	bf2a2e3bf199ad2ee96f02a3c00246c608db22a8	959372	3	transformers	text-generation	false	false
71	HuggingFaceTB/SmolLM2-135M	93efa2f097d58c2a74874c7e644dbc9b0cee75a2	956298	168	transformers	text-generation	false	false
72	Qwen/Qwen3-Coder-Next	a7fbcb5c0e12d62a448eaa0e260346bf5dcc0feb	952704	1045	transformers	text-generation	false	false
73	Qwen/Qwen2.5-Coder-32B-Instruct-AWQ	1ed0a6145da0ce550c628e8e8b678f51e695995d	948204	33	transformers	text-generation	false	false
74	Qwen/Qwen3-Coder-30B-A3B-Instruct	b2cff646eb4bb1d68355c01b18ae02e7cf42d120	926501	960	transformers	text-generation	false	false
75	Qwen/Qwen2.5-72B-Instruct-AWQ	698703eae6604af048a3d2f509995dc302088217	924792	75	transformers	text-generation	false	false
76	Qwen/Qwen2.5-Coder-32B-Instruct	381fc969f78efac66bc87ff7ddeadb7e73c218a7	867805	1999	transformers	text-generation	false	false
77	microsoft/phi-4	932b33c0ec9ca189badeb22480721a8de9d0e006	867630	2224	transformers	text-generation	false	false
78	Qwen/Qwen2.5-Coder-1.5B	df3ce67c0e24480f20468b6ef2894622d69eb73b	858413	83	transformers	text-generation	false	false
79	deepseek-ai/DeepSeek-R1-Distill-Qwen-32B	711ad2ea6aa40cfca18895e8aca02ab92df1a746	857685	1525	transformers	text-generation	false	false
80	Qwen/Qwen3-235B-A22B-Instruct-2507-FP8	e156cb4efae43fbee1a1ab073f946a1377e6b969	853296	146	transformers	text-generation	false	false
81	kaitchup/Phi-3-mini-4k-instruct-gptq-4bit	8d0c383a88f9b355bbc7ac0c36625fa7b9421e71	844113	2	transformers	text-generation	false	false
82	llm-jp/llm-jp-3-3.7b-instruct	1f5a6d0ac8a389d594e9972bec142d3d29d990ed	811210	13	transformers	text-generation	false	false
83	Qwen/Qwen3-8B-Base	49e3418fbbbca6ecbdf9608b4d22e5a407081db4	800352	87	transformers	text-generation	false	false
84	meta-llama/Llama-3.1-70B-Instruct	1605565b47bb9346c5515c34102e054115b4f98b	797069	895	transformers	text-generation	manual	false
85	RedHatAI/Llama-3.2-1B-Instruct-FP8	fb49430ca7e61099fa1ff30f12fecb290a8ebb65	790115	3		text-generation	false	false
86	deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	1df8507178afcc1bef68cd8c393f61a886323761	775335	608	transformers	text-generation	false	false
87	deepseek-ai/DeepSeek-R1-Distill-Qwen-7B	916b56a44061fd5cd7d6a8fb632557ed4f724f60	741893	795	transformers	text-generation	false	false
88	microsoft/Phi-3-mini-4k-instruct	f39ac1d28e925b323eae81227eaba4464caced4e	733854	1391	transformers	text-generation	false	false
89	meta-llama/Llama-3.3-70B-Instruct	6f6073b423013f6a7d4d9f39144961bfbfbc386b	717083	2673	transformers	text-generation	manual	false
90	Qwen/Qwen2.5-1.5B-Instruct-AWQ	3ecffa0ceb27851800f45519bab9c457a04405e1	716803	6	transformers	text-generation	false	false
91	openai-community/gpt2-medium	6dcaa7a952f72f9298047fd5137cd6e4f05f41da	710384	194	transformers	text-generation	false	false
92	RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8	12fd6884d2585dd4d020373e7f39f74507b31866	677692	44	transformers	text-generation	false	false
93	Qwen/Qwen3-235B-A22B	8efa61729e24bd65b1d152b5ab5409052aa80e65	671502	1075	transformers	text-generation	false	false
94	deepseek-ai/DeepSeek-R1-Distill-Llama-8B	6a6f4aa4197940add57724a7707d069478df56b1	669493	848	transformers	text-generation	false	false
95	mistralai/Mistral-7B-Instruct-v0.1	ec5deb64f2c6e6fa90c1abf74a91d5c93a9669ca	651976	1826	transformers	text-generation	false	false
96	NousResearch/Hermes-3-Llama-3.1-8B	896ea440e5a9e6070e3d8a2774daf2b481ab425b	650579	390	transformers	text-generation	false	false
97	casperhansen/llama-3.3-70b-instruct-awq	64d255621f40b42adaf6d1f32a47e1d4534c0f14	644101	38	transformers	text-generation	false	false
98	unsloth/Qwen3-Coder-Next-GGUF	8df0b7844fc5fa8aa80ad7cacaee2ae1fcf08fc6	626508	446		text-generation	false	false
99	meta-llama/Llama-2-7b-hf	01c7f73d771dfac7d292323805ebc428287df4f9	618830	2272	transformers	text-generation	manual	false
100	sshleifer/tiny-gpt2	5f91d94bd9cd7190a9f3216ff93cd1dd95f2c7be	605287	34	transformers	text-generation	false	false
